"table_name","column_name","data_type","is_nullable","column_default"
"OTP","id","uuid","NO","extensions.uuid_generate_v4()"
"OTP","email","character varying","NO",NULL
"OTP","otp","character varying","NO",NULL
"OTP","attempts","integer","YES","0"
"OTP","createdat","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"_prisma_migrations","id","character varying","NO",NULL
"_prisma_migrations","checksum","character varying","NO",NULL
"_prisma_migrations","finished_at","timestamp with time zone","YES",NULL
"_prisma_migrations","migration_name","character varying","NO",NULL
"_prisma_migrations","logs","text","YES",NULL
"_prisma_migrations","rolled_back_at","timestamp with time zone","YES",NULL
"_prisma_migrations","started_at","timestamp with time zone","NO","now()"
"_prisma_migrations","applied_steps_count","integer","NO","0"
"admin_action_logs","log_id","integer","NO","nextval('admin_action_logs_log_id_seq'::regclass)"
"admin_action_logs","admin_id","integer","YES",NULL
"admin_action_logs","action_performed","text","YES",NULL
"admin_action_logs","target_entity","character varying","YES",NULL
"admin_action_logs","date_performed","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"admin_action_logs","status","character varying","YES",NULL
"adoption_applications","adoption_id","integer","NO","nextval('adoption_applications_adoption_id_seq'::regclass)"
"adoption_applications","user_id","integer","YES",NULL
"adoption_applications","pet_id","integer","YES",NULL
"adoption_applications","adopter_name","character varying","YES",NULL
"adoption_applications","adopter_address","character varying","YES",NULL
"adoption_applications","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"adoption_applications","status","character varying","YES",NULL
"adoption_applications","age_of_youngest_child","integer","YES",NULL
"adoption_applications","other_pets_details","text","YES",NULL
"adoption_applications","other_pets_neutered","boolean","YES",NULL
"adoption_applications","has_secure_outdoor_area","boolean","YES",NULL
"adoption_applications","pet_sleep_location","character varying","YES",NULL
"adoption_applications","pet_left_alone","text","YES",NULL
"adoption_applications","additional_details","text","YES",NULL
"adoption_applications","agree_to_terms","boolean","YES",NULL
"adoption_applications","delivery","boolean","NO","false"
"adoption_applications","city_id","integer","YES",NULL
"adoption_applications","contact_number","character varying","YES",NULL
"bazaar_cart_items","cart_item_id","integer","NO","nextval('bazaar_cart_items_cart_item_id_seq'::regclass)"
"bazaar_cart_items","cart_id","integer","NO",NULL
"bazaar_cart_items","product_id","integer","NO",NULL
"bazaar_cart_items","variant_id","integer","YES",NULL
"bazaar_cart_items","quantity","integer","NO","1"
